side,btc,open,gap,yes,prob,rem,hedged,pnl,reason,held
YES,78968.95,78902.54,66.4,0.65,0.65,760,False,-0.1672,pair_fill_leg_timeout,5
YES,78646.8,78584.14,62.7,0.65,0.64,855,False,-0.4684,pair_fill_leg_timeout,5
YES,78652.04,78584.14,67.9,0.65,0.66,725,False,-0.3596,pair_fill_leg_timeout,5
YES,78402.12,78381.6,20.5,0.59,0.55,882,False,-0.5188,pair_fill_leg_timeout,5
YES,78394.47,78381.6,12.9,0.57,0.53,876,False,0.2861,pair_fill_leg_timeout,5
YES,78433.38,78381.6,51.8,0.65,0.61,871,False,-0.0216,pair_fill_leg_timeout,5
YES,78453.26,78381.6,71.7,0.7,0.66,865,False,-0.2,pair_fill_leg_timeout,5
YES,78468.02,78381.6,86.4,0.72,0.69,860,False,-0.873,pair_fill_leg_timeout,5
YES,78401.83,78381.6,20.2,0.59,0.55,844,False,-0.4392,pair_fill_leg_timeout,5
YES,78404.01,78381.6,22.4,0.57,0.55,839,False,-0.3821,pair_fill_leg_timeout,5
YES,78405.75,78381.6,24.1,0.58,0.56,832,False,-0.695,pair_fill_leg_timeout,5
YES,78404.45,78381.6,22.8,0.58,0.55,824,False,0.044,pair_fill_leg_timeout,5
YES,78421.55,78381.6,39.9,0.63,0.59,819,False,-0.335,pair_fill_leg_timeout,5
YES,78422.11,78381.6,40.5,0.62,0.59,813,False,-0.498,pair_fill_leg_timeout,5
YES,78408.64,78381.6,27.0,0.6,0.56,803,False,-0.594,pair_fill_leg_timeout,5
YES,78406.07,78381.6,24.5,0.57,0.56,797,False,-0.1354,pair_fill_leg_timeout,5
YES,78409.94,78381.6,28.3,0.58,0.57,791,False,-0.614,pair_fill_leg_timeout,5
YES,78404.08,78381.6,22.5,0.57,0.55,780,False,-0.5092,pair_fill_leg_timeout,5
YES,78402.38,78381.6,20.8,0.56,0.55,774,False,-0.2164,pair_fill_leg_timeout,5
YES,78410.06,78381.6,28.5,0.58,0.57,769,False,-0.776,pair_fill_leg_timeout,5
YES,78393.66,78381.6,12.1,0.57,0.53,747,False,-0.2177,pair_fill_leg_timeout,5
YES,78407.8,78381.6,26.2,0.59,0.56,740,False,-0.5188,pair_fill_leg_timeout,5
YES,78397.37,78381.6,15.8,0.57,0.54,735,False,-0.4646,pair_fill_leg_timeout,5
YES,78404.02,78381.6,22.4,0.56,0.56,729,False,-0.4672,pair_fill_leg_timeout,5
YES,78400.1,78381.6,18.5,0.55,0.55,723,False,-0.47,pair_fill_leg_timeout,5
YES,78394.74,78381.6,13.1,0.55,0.53,718,False,-0.045,pair_fill_leg_timeout,5
YES,78417.05,78381.6,35.4,0.6,0.59,712,False,-0.2015,pair_fill_leg_timeout,5
YES,78429.33,78381.6,47.7,0.62,0.62,706,False,0.054,force_close,3
YES,78731.02,78724.25,6.8,0.53,0.51,896,False,-0.8059,pair_fill_leg_timeout,8
YES,78852.37,78724.25,128.1,0.8,0.81,606,False,-0.2001,pair_fill_leg_timeout,8
YES,78844.15,78724.25,119.9,0.81,0.79,598,False,-0.1995,pair_fill_leg_timeout,8
